sku,dealer,premium_usd,availability,url,verified_at
ase,jm,16.54,in_stock,https://www.jmbullion.com/american-silver-eagle-varied-year/,2026-09-21T16:19:00Z
ase,sd,7.44,in_stock,https://sdbullion.com/1-oz-american-silver-eagle-coins-random-year,2026-09-21T16:19:00Z
ase,apmex,7.57,in_stock,https://www.apmex.com/product/23331/1-oz-american-silver-eagle-coin-bu-random-year,2026-09-21T16:19:00Z
ase,money_metals,11.48,in_stock,https://www.moneymetals.com/1-oz-american-silver-eagle-random-year/262,2026-09-21T16:19:00Z
ase,monument,5.48,in_stock,https://monumentmetals.com/1-oz-american-silver-eagle-bu-dates-our-choice.html,2026-09-21T16:19:00Z
ase,bgasc,14.14,in_stock,https://www.bgasc.com/product/1-oz-american-silver-eagle-coins-random-year,2026-09-21T16:19:00Z
silver_maple,jm,11.44,in_stock,https://www.jmbullion.com/canadian-silver-maple-leaf-varied-year/,2026-09-21T16:19:00Z
silver_maple,sd,6.44,in_stock,https://sdbullion.com/canadian-silver-maple-leaf-coin-random-year,2026-09-21T16:19:00Z
silver_maple,apmex,6.57,in_stock,https://www.apmex.com/product/1090/1-oz-canadian-silver-maple-leaf-coin-bu-random-year,2026-09-21T16:19:00Z
silver_maple,money_metals,10.38,in_stock,https://www.moneymetals.com/canadian-maple-leaf-king-charles-iii-1-troy-oz-silver-9999-pure/1018,2026-09-21T16:19:00Z
silver_maple,monument,3.60,in_stock,https://monumentmetals.com/random-date-silver-maple-leaf.html,2026-09-21T16:19:00Z
silver_maple,bgasc,8.94,in_stock,https://www.bgasc.com/product/1-oz-canadian-silver-maple-leaf-coin-random-year,2026-09-21T16:19:00Z
oz1_bar,jm,10.44,in_stock,https://www.jmbullion.com/1-oz-silver-bar/,2026-09-21T16:19:00Z
oz1_bar,sd,5.44,in_stock,https://sdbullion.com/generic-1-oz-silver-bar-999-fine-silver,2026-09-21T16:19:00Z
oz1_bar,apmex,11.58,in_stock,https://www.apmex.com/product/27086/1-oz-silver-bar-apmex,2026-09-21T16:19:00Z
oz1_bar,money_metals,6.69,in_stock,https://www.moneymetals.com/1-oz-generic-silver-bar/153,2026-09-21T16:19:00Z
oz1_bar,monument,0.34,in_stock,https://monumentmetals.com/secondary-market-1-oz-silver-bar-999-fine.html,2026-09-21T16:19:00Z
oz1_bar,bgasc,8.94,in_stock,https://www.bgasc.com/product/1-oz-silver-bars-secondary-market-random-assorted,2026-09-21T16:19:00Z
